date,medal_code,medal,code,name,gender,country_code,country,discipline,discipline_code,event_name
2026-02-15,1,GOLD,42284,KLAEBO Johannes Hoesflot,M,NOR,Norway,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,1,GOLD,42239,HEDEGART Einar,M,NOR,Norway,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,1,GOLD,42285,NYENGET Martin Loewstroem,M,NOR,Norway,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,1,GOLD,139897,IVERSEN Emil,M,NOR,Norway,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,2,SILVER,45591,DESLOGES Mathis,M,FRA,France,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,2,SILVER,45603,LAPALUS Hugo,M,FRA,France,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,2,SILVER,46443,LOVERA Victor,M,FRA,France,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,2,SILVER,45616,SCHELY Theo,M,FRA,France,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,3,BRONZE,22212,BARP Elia,M,ITA,Italy,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,3,BRONZE,170798,CAROLLO Martino,M,ITA,Italy,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,3,BRONZE,22211,GRAZ Davide,M,ITA,Italy,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,3,BRONZE,26631,PELLEGRINO Federico,M,ITA,Italy,Cross-Country Skiing,CCS,Men's 4 x 7.5km Relay
2026-02-15,1,GOLD,53458,KINGSBURY Mikael,M,CAN,Canada,Freestyle Skiing,FRS,Men's Dual Moguls
2026-02-15,2,SILVER,42801,HORISHIMA Ikuma,M,JPN,Japan,Freestyle Skiing,FRS,Men's Dual Moguls
2026-02-15,3,BRONZE,27340,GRAHAM Matt,M,AUS,Australia,Freestyle Skiing,FRS,Men's Dual Moguls
2026-02-15,1,GOLD,38200,WESTON Matt,M,GBR,Great Britain,Skeleton,SKN,Mixed Team
2026-02-15,1,GOLD,38196,STOECKER Tabitha,F,GBR,Great Britain,Skeleton,SKN,Mixed Team
2026-02-15,2,SILVER,20075,JUNGK Axel,M,GER,Germany,Skeleton,SKN,Mixed Team
2026-02-15,2,SILVER,20083,KREHER Susanne,F,GER,Germany,Skeleton,SKN,Mixed Team
2026-02-15,3,BRONZE,20064,GROTHEER Christopher,M,GER,Germany,Skeleton,SKN,Mixed Team
2026-02-15,3,BRONZE,20113,PFEIFER Jacqueline,F,GER,Germany,Skeleton,SKN,Mixed Team
2026-02-15,1,GOLD,42353,STROEM Anna Odine,F,NOR,Norway,Ski Jumping,SJP,Women's LH Individual
2026-02-15,2,SILVER,42354,KVANDAL Eirin Maria,F,NOR,Norway,Ski Jumping,SJP,Women's LH Individual
2026-02-15,3,BRONZE,35642,PREVC Nika,F,SLO,Slovenia,Ski Jumping,SJP,Women's LH Individual
2026-02-15,1,GOLD,39328,BANKES Charlotte,F,GBR,Great Britain,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,1,GOLD,39394,NIGHTINGALE Huw,M,GBR,Great Britain,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,2,SILVER,22740,MOIOLI Michela,F,ITA,Italy,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,2,SILVER,22747,SOMMARIVA Lorenzo,M,ITA,Italy,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,3,BRONZE,50039,BOZZOLO Loan,M,FRA,France,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,3,BRONZE,50041,CASTA Lea,F,FRA,France,Snowboard,SBD,Mixed Team Snowboard Cross
2026-02-15,1,GOLD,51795,KOK Femke,F,NED,Netherlands,Speed Skating,SSK,Women's 500m
2026-02-15,2,SILVER,51847,LEERDAM Jutta,F,NED,Netherlands,Speed Skating,SSK,Women's 500m
2026-02-15,3,BRONZE,36075,TAKAGI Miho,F,JPN,Japan,Speed Skating,SSK,Women's 500m
